Disease,Common Symptoms,Notes,Severity Tagging,Disclaimers & Advice
🦠 Infectious & Vector-Borne Diseases,,,,
Malaria 🌾,"Prostration (inability to sit), altered consciousness lethargy or coma,Breathing difficulties,Severe anaemia,Generalized convulsions/fits,Inability to drink/vomiting,Dark and/or limited production of urine",Underdiagnosed in tribal/rural belts,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Dengue,"High fever, severe frontal headache, pain behind the eyes which worsens with eye movement, muscle and joint pains, loss of sense of taste and appetite, measles-like rash over chest and upper limbs, nausea and vomiting, frequent vomiting with or without blood, bleeding from nose, mouth & gums and skin rashes, sleepiness and restlessness, feeling thirsty with a dry mouth, rapid weak pulse, and difficulty in breathing.",Seasonal outbreaks,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Chikungunya,"high fever, severe frontal headache, and pain behind the eyes that gets worse with eye movement. You might also experience muscle and joint pains, a loss of taste and appetite, and a measles-like rash on your chest and upper limbs. Other signs can be nausea and vomiting, which may include blood, as well as bleeding from the nose, mouth, and gums, and skin rashes. Patients may feel sleepy and restless, have a dry mouth, a rapid and weak pulse, and experience difficulty breathing",Joint pain may last for months,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Typhoid 🌾,"Step-ladder fever, abdominal pain, constipation/diarrhea",Mistaken for seasonal fever,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Tuberculosis (TB) 🌾,"Persistent cough >2 weeks, night sweats, weight loss",Ignored until advanced stage,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Pneumonia (esp. in children) 🌾,"Fever with chills, cough with sputum, chest pain, breathlessness",Major rural child killer,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Leptospirosis 🌾,"Fever, calf muscle pain, red eyes, jaundice","Post-flood illness, mistaken for viral fever",Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Kala-Azar 🌾,"Recurrent intermittent or remittent fever with often double rise, loss of appetite, pallor and weight loss with progressive emaciation weakness, splenomegaly (rapid and massive enlargement, usually soft and non-tender), liver enlargement (not to the extent of the spleen, soft, smooth surface, sharp edge), infrequent lymphadenopathy in India, dry thin and scaly skin with potential hair loss, grayish discoloration of the skin in light-skinned people and rapidly developing anemia.",Stigma and lack of awareness lead to late diagnosis.,Urgent doctor needed,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
Filariasis 🌾,"Swollen legs/genitals, thickened skin, fever","Seen as “normal swelling”, Lymphatic filariasis is transmitted through mosquito bites.",General consult,This is not a diagnosis. Please consult a doctor for confirmation. Recommend nearest health center/screening.
